cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,omega,dipole_moment_debye,molecular_volume_A3,h_nbo_charge,o_nbo_charge,polar,sasa,3and6,4and5,logp,hbd,hba,mu,sigma,ei
13935-09-6,O=C(O)C1=CC=C(Cl)C(O)=C1C(=O)O,14.0,18.0,-8.261920728881,-0.927364002504,7.334556726377,2.878256894884539,4.554240285711767,160.64800000000002,0.54128,-0.65681,172.53050766666664,178.62156463928952,1,1,1.442,3.0,3.0,10.089289028681037,1.9417575742834958,5.160445530625086e-06
110978-92-2,O=C(O)C1=CC(O)=CC(F)=C1C(=O)O,14.0,18.0,-8.411039118955,-0.705863328197,7.705175790757999,2.696820698451233,4.01041409707277,152.45600000000005,0.53462,-0.65617,155.0460628333333,182.31046498207763,1,1,0.9277,3.0,3.0,9.746105830912398,1.945018479181903,2.3273110587821865e-06
13935-08-5,O=C(O)C=1C(Cl)=CC=C(O)C1C(=O)O,14.0,18.0,-8.1696741335615,-0.6500799888445,7.519594144717,2.586178897512333,3.729060704788808,162.49600000000004,0.53419,-0.64358,169.88149966666666,173.01629705833275,2,0,1.442,3.0,3.0,7.477711051133525,2.2443565824435776,3.215536721054176e-07
2385606-35-7,O=C(O)C=1C(F)=CC=C(O)C1C(=O)O,14.0,18.0,-8.214028691193,-0.7257276392835,7.488301051909501,2.6681366939672992,3.979200495074356,152.36800000000002,0.53432,-0.64774,153.11109866666666,176.9851826465636,2,0,0.9277,3.0,3.0,7.545483550314373,2.232793943514998,3.2902692407999166e-07
248595-23-5,O=C(O)C=1C(O)=CC=C(C1C(=O)O)CCC,16.0,20.0,-7.9802828936134995,-0.474022327571,7.506260566042499,2.380522103652177,4.0679514574291575,197.54400000000004,0.53173,-0.65911,207.14756033333333,163.4026703457103,2,0,1.7411,3.0,3.0,6.625837683617817,2.290243566791565,7.585363687544957e-08
78324-74-0,O=C(O)C1=CC=C(Br)C(Br)=C1C(=O)O,14.0,17.0,-8.7394805365085,-0.9891338465675,7.750346689941,3.052958196613064,2.1710671707710936,177.72800000000004,0.53913,-0.64317,199.20880033333333,174.7470287795245,1,1,2.6080000000000005,2.0,2.0,12.046639427493915,1.9593591548602471,0.0003889374229998129
84638-34-6,O=C(O)C1=CC(O)=C(C(=O)O)C(O)=C1C(=O)O,17.0,22.0,-8.329404963805,-0.7409660149115,7.588438948893501,2.710426684777469,5.398175617743462,181.49600000000004,0.53985,-0.65193,192.4352913333333,178.7794450454173,1,2,0.1923999999999999,5.0,5.0,8.809101499190575,1.9772357552654078,3.1929222420686516e-07
3096-67-1,O=C(O)C1=CC=C(C=C1C(=O)O)NO,14.0,18.0,-7.804769460041,-0.5118461527905,7.292923307250501,2.3710003635589074,4.183223453271412,160.17600000000004,0.53239,-0.66269,176.41915866666668,187.7381974756645,0,1,0.8840999999999999,4.0,4.0,11.145119790378942,1.9046798427692315,4.0740622071306514e-05
75543-83-8,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C1C(=O)O)C,21.0,22.0,-9.010233817756,-1.201110536107,7.809123281649001,3.338132519888694,2.92709186394961,210.04000000000005,0.53812,-0.64919,217.990348,175.50427239666135,1,2,0.78782,4.0,4.0,12.189510400433846,1.9502047108041431,0.0004794343304312734
1005516-19-7,O=C(O)C=1C=CC=C(OCCO)C1C(=O)O,16.0,25.0,-8.1381089269035,-0.6623251121170001,7.4757838147865,2.5899504718811373,4.622970535272748,189.31200000000004,0.53606,-0.65869,193.2056113333333,179.43055320574334,1,0,0.4541,3.0,4.0,9.131472502194185,1.959704403012407,5.890879851732097e-07
346419-81-6,O=C(O)C=1C=CC=2C=NN=CC2C1C(=O)O,16.0,21.0,-8.7269632993855,-1.39322291456,7.333740384825501,3.491334695213973,6.055824490521501,174.57600000000005,0.5379,-0.64589,205.985738,178.33240258970707,1,1,1.0262,2.0,4.0,10.46322378140843,2.0259557249110585,2.687818402726097e-05
1804397-57-6,N#CCCC=1C=CC=C(C(=O)O)C1C(=O)O,24.0,23.0,-8.7601611891465,-0.6198753514390001,8.140285837707498,2.7021497542246604,4.085902457230226,190.33600000000004,0.53481,-0.65726,199.0975153333333,169.73309459337435,1,0,1.53918,2.0,3.0,9.391708662854313,1.9559222122918614,1.0921732074003901e-06
1804200-31-4,O=CCCC1=CC=C(C(=O)O)C(=C1)C(=O)O,25.0,23.0,-8.6387984118235,-0.650896330396,7.9879020814274995,2.700910311741028,2.858321454980178,192.13600000000005,0.5314,-0.66699,202.277057,189.0534687968238,0,1,1.2145,2.0,3.0,12.605822729971322,1.884023442128942,0.0006907136920558214
958781-11-8,O=C(O)C1=CC=CC(C(=O)C)=C1C(=O)O,15.0,22.0,-9.088058378999,-0.9461398581885,8.1419185208105,3.091566625416005,6.895470018062583,174.46400000000006,0.53564,-0.665,186.67268166666668,171.8405787618705,1,0,1.2856,2.0,3.0,8.347996367160846,2.0588885922784677,2.7878982573673276e-07
34163-34-3,O=C(O)C1=CC(Br)=CC(C(=O)O)=C1C(=O)O,20.0,19.0,-8.825196399416,-0.9907665296705,7.834429869745501,3.074669434379992,4.132777843049394,186.35200000000003,0.53826,-0.64972,199.327666,172.59647938243486,1,1,1.5437,3.0,3.0,10.61898724848669,1.9351948262791028,1.6586354604058377e-05
113678-62-9,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C(=O)O)C1O,23.0,22.0,-8.6436964611325,-1.20818549622,7.435510964912499,3.2633795632749067,2.137511826867865,201.10400000000004,0.53607,-0.64324,211.804799,167.13104223170208,2,1,0.1850000000000001,5.0,5.0,10.453736394291553,2.25483503794457,0.00014800229730053613
1081825-97-9,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(O)C1C(=O)O,21.0,22.0,-8.5353951486335,-1.5320009783150002,7.003394170318499,3.617976595064632,4.459612281353616,200.5360000000001,0.53943,-0.64935,209.6770593333333,183.2193879787508,1,2,0.1849999999999999,5.0,5.0,12.09518051795817,1.9870426465256454,0.0005073642140263615
111036-22-7,O=C(O)C=1C=CC2=CC=CC(=C2C1C(=O)O)C,17.0,23.0,-7.628439684917,-0.9200169285405,6.7084227563765,2.7232970075829246,2.902350823039834,198.52000000000004,0.5346,-0.65493,249.1841843333333,163.36353309233175,1,1,2.54462,2.0,2.0,11.293270276510952,1.9392509192620848,7.498729441235419e-05
1807075-41-7,O=C(O)C1=CC=CC(=C1C(=O)O)CC(=O)C,16.0,20.0,-8.7187998838705,-0.6293993362065,8.089400547663999,2.700720162864347,5.798154848742831,191.91200000000003,0.53382,-0.6564,199.804649,164.56085176573083,1,0,1.2145,2.0,3.0,8.113711472899894,2.0091445461436352,7.772880512031034e-08
52060-73-8,O=C(O)C1=CC(OC)=C(C(=O)O)C(=C1)C(=O)O,24.0,22.0,-8.3013772372035,-1.0642372693055,7.237139967898,3.0300206806007184,3.407548237369502,191.67200000000005,0.53776,-0.65212,199.43462866666667,180.9788449869104,1,1,0.7898000000000001,3.0,4.0,11.399475618547484,1.9356629087343378,9.097455748539418e-05
73322-57-3,O=C(O)C1=CC=C(OC)C(C(=O)O)=C1C(=O)O,24.0,23.0,-8.337024151619,-0.546948839505,7.790075312113999,2.532869482798452,2.8672370829772693,191.63200000000003,0.53391,-0.64976,200.908179,166.34686067425082,2,0,0.7897999999999998,3.0,4.0,7.76780773399895,2.2763255775787314,8.810105126240394e-07
65726-16-1,O=C(O)C1=CC=C(C(=O)O)C(C(=O)O)=C1OC,21.0,20.0,-8.784923549542,-1.2579823308615,7.5269412186805,3.3499649988074545,5.001226874477902,192.16800000000003,0.53784,-0.65439,198.13613633333333,175.3581224041808,1,1,0.7898000000000001,3.0,4.0,10.837214503083402,1.96634679227723,3.566302331742559e-05
1806542-23-3,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)CC,16.0,20.0,-9.1052015515805,-1.2242402133995,7.8809613381810015,3.3846558369470414,5.198422393380515,191.91200000000003,0.53387,-0.65809,203.482896,186.2530154978598,0,1,1.6757,2.0,3.0,12.790935925860424,1.9267058998361255,0.0012429251278110696
99866-19-0,O=C(O)C1=CC(OC)=C(OCC)C=C1C(=O)O,17.0,28.0,-7.726128557246501,-0.5551122550200001,7.1710163022265005,2.39083787082786,1.0436477997868825,206.39200000000005,0.53057,-0.67225,218.23732066666665,187.1217955375876,0,2,1.4903,2.0,4.0,13.536456304194871,1.9584425122918572,0.004983553500072867
