cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5,mu,sigma,ei
2828433-78-7,O=C(O)C1=CC=C(F)C(Br)=C1C(=O)O,14,17,-8.8069647714325,-0.788585938749,8.018378832683501,2.7606936610207224,1,1,8.93860537367658,2.249009836577949,9.657665575909673e-06
25641-98-9,O=C(O)C=1C=C(Cl)C=C(Cl)C1C(=O)O,14,17,-8.8347203841835,-1.001923197541,7.8327971866425,2.252488743590076,1,1,10.058727429562893,2.150767376555825,3.974889460822955e-05
2167659-32-5,O=C(O)C=1C(F)=CC=C(Br)C1C(=O)O,14,17,-8.637437842571,-0.8144367545465,7.8230010880245,1.547381598055244,2,0,9.717622807150661,2.1250652415130795,1.6092170161189875e-05
16110-99-9,O=C(O)C=1C(Cl)=CC=C(Cl)C1C(=O)O,14,17,-8.655941584405,-0.7164757683665,7.939465816038499,0.7527087218838374,2,0,10.720284824571735,2.055937571993257,7.020435519624365e-05
62268-15-9,O=C(O)C1=CC(Cl)=C(Cl)C(Cl)=C1C(=O)O,15,17,-8.9686003986295,-1.1121293069935,7.856471091635999,3.559856419857408,1,2,8.274248531354132,2.5225350551827064,2.4433415091351565e-05
675139-09-0,O=C(O)C1=CC=C(C=C1C(=O)O)CNC(=O)OC(C)(C)C,21,25,-8.744106471967001,-0.6811009678015,8.0630055041655,4.406165093366339,0,1,7.318725061923132,2.819754163190511,3.7881842050768006e-05
10210-28-3,O=C(O)C=1C=C2C=C3C=CC=CC3=CC2=CC1C(=O)O,20,29,-7.083667756216,-1.2405670444295,5.8431007117865,3.391101422841847,0,2,9.769127104055045,2.46490167781968,0.00020045727685766117
92971-15-8,O=C(O)C1=CC=C(C(=C1C(=O)O)N(=O)=O)N(=O)=O,18,21,-9.75800267893,-2.3023552890805004,7.455647389849499,9.060131102804196,1,1,2.7373108985768084,6.291628653464977,0.014435922669350551
18959-91-6,O=C(O)C1=CC=C(OC2=CC=CC(OC3=CC=C(C(=O)O)C(=C3)C(=O)O)=C2)C=C1C(=O)O,32,45,-8.313622360476,-0.5684458336945,7.7451765267815,5.812796361476979,0,1,5.093395927441307,3.5791271026676306,0.00010986610174255331
1824411-98-4,O=C(O)C=1C=C2C(=CC1C(=O)O)CN(C(=O)OC(C)(C)C)C2,22,25,-8.2703562582465,-0.613888846728,7.656467411518499,3.379533797730095,0,2,8.747266360708693,2.4061596860060406,2.3973699048394253e-05
623904-16-5,O=C(O)C=1C=CC(=CC1)C2=CC(C(=O)O)=C(C=C2C3=CC=C(C=C3)C(=O)O)C(=O)O,36,43,-8.141646406960001,-1.174987606459,6.966658800501001,4.962400073553119,0,2,7.314027570996387,3.1469863435552416,0.00021905344158295323
21278-45-5,O=C(O)C1=CC=C(N=NC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,26,35,-8.421379445273999,-1.885748983965,6.535630461308999,4.108750148159413,0,1,9.689646064364382,2.8514623218860313,0.0011649501084904541
51307-74-5,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)S(=O)(=O)O,19,23,-9.5971833932845,-1.6226148905315,7.974568502753,8.65726173221071,0,2,3.088468982059368,5.798748082575072,0.008373858140752657
3885-88-9,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C=2C=CC=CC2,20,24,-8.741113219611501,-1.3412491691145,7.399864050497001,4.528789490581341,0,1,8.221762785955747,2.949566222474217,0.00027669827056929367
1868072-45-0,O=C(O)C=1C=C(C=C(C1)C2=CC=C(C(=O)O)C(=C2)C(=O)O)C(=O)O,32,30,-8.3509019579945,-0.9923992127735,7.358502745221,3.2486314426231857,0,1,9.580824805434801,2.3915904787909867,9.362514117081198e-05
50276-60-3,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1C(=O)O,18,29,-8.1130744526575,-0.6576991766585,7.455375275999,2.5178727807417114,1,2,9.083308740741089,2.1829155558588047,7.185354603270297e-06
1245212-48-9,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C=2C=CN=CC2,21,25,-8.234165116129999,-1.047638324425,7.186526791704999,4.872239099223272,0,1,7.239304762601549,3.083551876554891,0.0001468528383175116
476-73-3,O=C(O)C1=CC=C(C(=O)O)C(C(=O)O)=C1C(=O)O,22,21,-9.3212599488775,-1.32247331343,7.998786635447501,3.888676168055139,1,1,8.124794556378006,2.674406353516488,5.3130847480258037e-05
1092449-37-0,O=C(O)C1=CC=C(F)C(F)=C1C(=O)O,14,17,-9.0028867437925,-0.7872253694965,8.215661374296,2.574850560712213,1,1,9.216633314330963,2.203760544493153,1.1424996393342052e-05
937647-86-4,O=C(O)C1=CC(Cl)=C(Br)C=C1C(=O)O,14,17,-8.777304361728001,-0.97416758479,7.803136776938001,2.610182143069713,0,2,10.516851351438135,2.2104787880935226,0.00014487305297206663
13810-83-8,O=C(O)C=1C(Br)=C(Br)C(Br)=C(Br)C1C(=O)O,16,17,-8.708731671401999,-0.9123977407265,7.796333930675499,2.086605762955714,2,2,9.078687806187546,2.211321066563858,9.208762629876375e-06
499793-28-1,O=C(O)C1=CC(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)=CC(=C1)C(=O)O,31,29,-8.399066109532999,-1.004644336046,7.394421773486999,3.379372807193666,0,1,9.403117313503031,2.4357491693771496,9.241227312120127e-05
90348-28-0,O=C(O)C=1C=C(C(=CC1C(=O)O)N(=O)=O)N(=O)=O,18,21,-9.789023657887,-2.428344001862,7.360679656025001,9.481184314208852,0,2,3.2836003000504235,6.657869407349809,0.029108674451437777
518-90-1,O=C(O)C1=CC=C(OC)C(OC)=C1C(=O)O,16,25,-8.0825977014015,-0.4933424109565,7.589255290445,6.360190720410828,1,1,3.2409201212486067,3.9377724339975386,6.809165107524075e-05
82520-79-4,O=C(O)C1=CC=C(S)C=C1C(=O)O,13,18,-7.956064760918999,-0.7480409750245001,7.2080237858944995,1.685542319255141,0,1,11.530462295975155,2.0199485101184917,0.0002601361992374176
144876-16-4,O=CC1=CC=C(C(=O)O)C(=C1)C(=O)O,19,17,-9.1852030236275,-1.3684605541645,7.816742469463001,5.014299239175899,0,1,7.547907269045453,3.202877636268958,0.00037391546047957965
13124-84-0,O=C(O)C=1C=C(C(=O)O)C(=CC1Br)C(=O)O,18,20,-8.873088437104,-1.163558824738,7.709529612366,3.048617819602844,0,2,10.162800894207919,2.3465852697735192,0.00018752003642878018
22179-20-0,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)N,16,20,-9.312280191811,-1.0555296260895,8.2567505657215,9.03406064402935,0,1,1.8330365933902186,6.019966510465032,0.006033566764057911
2300-16-5,O=C(O)C1=C(C(=O)O)C(=CC=C1N(=O)=O)N(=O)=O,19,18,-9.7375941401425,-2.4645351439785,7.273058996164,0.3213044817614593,2,0,13.868441003250197,2.286344740483047,0.02592737283877139
2639451-53-7,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)OC(C)(C)C,20,24,-8.054025747099,-0.654161696602,7.399864050497,5.717844378784719,0,1,5.3695900805318075,3.526279649008652,0.00011921604605629496
1417569-13-1,O=C(O)C=1C(Br)=CC=C(Br)C1C(=O)O,14,17,-8.51716352065,-0.7066796697485,7.8104838509015,0.7295052432984975,2,0,10.737704219486261,2.054431495140137,7.184386185474191e-05
53812-59-2,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C1C(=O)O)C(F)(F)F,24,25,-9.580584448404,-1.420978527311,8.159605921093,6.444553540005701,1,2,4.630813133799776,4.101471992074854,0.0005103534667555022
479-47-0,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C1)C(=O)O,23,21,-9.4143228857485,-1.2125393178280002,8.2017835679205,4.11732917071249,1,1,7.606756578566376,2.75501640283741,3.929741716993118e-05
1170416-53-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)OCC,17,21,-9.1628896878865,-1.1428781721,8.0200115157865,3.845013602056565,0,1,8.926211935790334,2.6214480339597293,0.00013392566786083891
63181-80-6,O=C(O)C=1C=CC=C(OC2=CC=C(C=C2)C)C1C(=O)O,20,31,-7.999058749298,-0.687903814064,7.311154935234001,6.33007335344544,1,0,3.6023321251780374,3.9304949692309923,9.715712411211344e-05
1323408-36-1,O=C(O)C=1C=CC=C(OCC2=CC=C(C=C2)CO)C1C(=O)O,22,35,-8.142734862362,-0.6827336509045,7.4600012114575,6.726452118316163,1,0,3.0750058544202687,4.202476010402189,0.00016659193515694082
209324-65-2,O=C(O)C1=CC=C(C(NC(=O)C)=C1C(=O)O)N(=O)=O,19,26,-8.7563515952395,-1.8087407642735,6.947610830966001,9.056427894595087,1,1,2.0452545948756438,6.1705939863803705,0.00857240774363427
4445-58-3,O=C(O)C=1C=CC(=CC1C(=O)O)C=2C=CC=CC2,18,22,-8.0085827340655,-0.872397004703,7.1361857293625,1.9282532665601788,0,1,11.374611332352984,2.06458240889949,0.0002616642488619302
2612386-56-6,O=C(O)C1=CC(F)=C(Br)C=C1C(=O)O,14,17,-8.8031551775255,-0.8615124506830001,7.941642726842501,2.750452653655394,0,2,10.118374961237691,2.2367523591210583,8.445871830246388e-05
99807-59-7,O=C(O)C=1C=C(C(=O)O)C(=CC1Cl)C(=O)O,18,20,-8.9974444667825,-1.197845169901,7.7995992968815,2.8873728283683766,0,2,10.46169922907761,2.303658812828042,0.00023777626145555326
176796-64-8,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21,-8.636349387169,-0.764639919905,7.871709467264,2.7760466674751707,0,1,9.917505987978117,2.236577467342553,5.828210053913723e-05
2080747-16-4,O=C(O)C1=CC=C(Cl)C(=C1C(=O)O)N(=O)=O,16,19,-9.2238431903985,-1.853095321905,7.370747868493499,5.6889968825795645,1,1,6.340162675839991,3.69928492845734,0.0006769959810737271
4277-02-5,O=C(O)C=1C=C(C=C(C1C(=O)O)N(=O)=O)N(=O)=O,18,21,-9.8812702532065,-2.2623545530570004,7.6189157001495,5.407243636086689,1,1,7.348989442152927,3.6348550315008525,0.00147737365972349
4961-03-9,O=C(O)C=1C=C(C(=O)O)C(=CC1O)C(=O)O,18,21,-8.485054086290999,-0.966004169275,7.519049917015999,3.600695057902016,0,2,9.004681002144608,2.5097911720686734,7.684076229647887e-05
57296-46-5,O=C(O)C1=CC(OC)=C(Cl)C(Cl)=C1C(=O)O,16,21,-8.3302213053565,-0.9303572548595,7.399864050497001,4.121956647030631,1,2,7.134660552766761,2.7247542853074656,1.5074740483801891e-05
2248293-20-9,O=C(O)C1=CC=C(C=C1C(=O)O)CC(NC(=O)OC(C)(C)C)C,23,27,-8.532946123979,-0.648175191891,7.884770932088,2.2574491467140514,0,1,10.505116541087816,2.1108440521910885,6.991629909920824e-05
