cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5,mu,sigma,ei
2088-87-1,O=C(O)C=1C=CC=2C=CC=CC2C1C(=O)O,16,23,-7.821640518771999,-0.9934876681755,6.828152850596499,3.071451497256631,1,1,8.812542318721611,2.3507445456936495,1.7623753839860574e-05
103203-38-9,O=C(O)C1=CC(OC)=CC(=C1C(=O)O)C,15,21,-8.042052737677,-0.465314684355,7.576738053322,4.01218808382658,1,1,6.507868594126023,2.645735543260936,2.768841014748536e-06
219537-88-9,O=C(O)C1=CC=C(C#CC=2C=CC=CC2)C=C1C(=O)O,20,29,-7.6912979843825,-1.1758039480105,6.515494036372001,2.057549379723364,0,1,11.673410925991973,2.1109332826309815,0.0005911491946939415
76284-57-6,O=C(O)C1=CC=C(F)C(=C1C(=O)O)C(F)(F)F,17,20,-9.2390815660265,-0.8046406559285,8.434440910098001,3.596901052294878,1,1,7.706814781211918,2.506675679542294,7.869451449746213e-06
325780-76-5,O=C(O)C1=C(OCC)C=2C=CC=CC2C(OCC)=C1C(=O)O,22,37,-7.6689846486415005,-0.689536497167,6.9794481514745,5.250387681876453,2,2,4.0711366493080305,3.358766213205774,9.550444523948834e-06
22037-61-2,O=C(O)C1=CC=C(C=C)C=C1C(=O)O,14,21,-8.121509982023,-0.9978414897835,7.123668492239499,1.6223599662220465,0,1,12.034363771269597,2.0276651348970836,0.0006823881516941762
137023-78-0,O=C(O)C=1C=C(C(=CC1C(=O)O)CC)CC,16,19,-8.448046602623,-0.570894858349,7.877151744274,2.7758233319143346,0,2,9.589031292225783,2.225284560497251,2.8671476775531893e-05
201730-10-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21,-8.650771421245501,-0.789674394151,7.861097027094502,3.447903074333732,0,1,8.941626164931861,2.440857808871967,4.354301554078356e-05
76284-58-7,O=C(O)C=1C(Cl)=CC=C(C1C(=O)O)C(F)(F)F,17,20,-9.1177187887035,-0.7472246334729999,8.3704941552305,1.7020578368551404,2,0,9.376233894200055,2.1403778364330144,9.012962771719852e-06
82784-82-5,O=C(O)C1=CC=C(O)C(O)=C1C(=O)O,14,19,-8.2153892604455,-0.521914365259,7.6934748951865,5.09748380478055,1,1,5.024258587465425,3.1678794733305655,1.1210141144188022e-05
2384497-19-0,O=C(O)C1=CC(O)=C(N)C=C1C(=O)O,14,20,-7.5503430098235,-0.4791924907305,7.071150519093,5.193790811151331,0,2,5.822321212828129,3.2094085873898512,4.345696626600762e-05
861555-37-5,O=C(O)C1=CC=C(C(OC)=C1C(=O)O)C,15,21,-8.516075065248,-0.63674641017,7.879328655078,3.555195966469359,1,1,7.484230447987329,2.480132788839772,4.1590223860820275e-06
202262-76-8,O=C(O)C=1C=CC=C(NO)C1C(=O)O,14,20,-7.993344358437501,-0.5874938032295001,7.405850555208,5.093633408481612,1,0,5.140976624552124,3.169657750842194,1.3407893762355577e-05
7717-74-0,O=C(O)C1=CC=C(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1,29,27,-8.1430069762125,-0.7611024398485,7.381904536364001,2.646561678858061,0,1,10.107641676186361,2.2036849159097014,6.53155182638004e-05
1301739-50-3,O=C(O)C1=CC(Cl)=C(C=C1C(=O)O)C(F)(F)F,17,20,-9.078262280381,-1.148864676811,7.929397603570001,4.477490518136247,0,2,7.988447914771044,2.898741124597865,0.000156964447914893
889943-38-8,O=C(O)C1=CC(N)=C(N)C=C1C(=O)O,14,21,-7.136457843213,-0.416878418966,6.719579424247,4.47100074479976,0,2,6.771849488296496,2.8354203781514826,1.797110355921007e-05
84029-87-8,O=C(O)C=1C=C(C(=CC1C(=O)O)C(C)C)C,16,19,-8.433896682397,-0.580146729266,7.853749953131,2.8839448642441137,0,2,9.440893371022412,2.2544279741600493,2.71385704827291e-05
169739-72-4,O=C(O)C1=CC=C(C=C1C(=O)O)NN,14,18,-7.3827208779155,-0.3485778424905,7.034143035425,7.207310746041134,0,1,2.8732903622891683,4.523175665504284,0.00041342936178493175
1236108-27-2,O=C(O)C1=CC(N=NC=2C=C(C(=O)O)C(C(=O)O)=C(C2)C(=O)O)=CC(C(=O)O)=C1C(=O)O,41,40,-8.593899626491,-1.988063791753,6.605835834738,4.255446614634003,1,1,8.615369549579839,2.955796170478245,0.0004730000428479668
1257323-85-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(NC(=O)OC(C=2C=CC=CC2N(=O)=O)C)C(=O)O,31,35,-8.8396184334925,-1.4574417832780002,7.3821766502145,4.685796927951532,0,1,8.17282751450523,3.045353823420301,0.0004035910584420958
830320-86-0,N#CC1=CC=C(C(=O)O)C(=C1)C(=O)O,18,16,-9.1974481469,-1.1665520770935,8.0308960698065,5.715043180939231,0,1,6.212245850938729,3.5782354979742563,0.0003799951480085856
106860-70-2,O=NC1=CC=CC(C(=O)O)=C1C(=O)O,18,17,-8.6850577664085,-2.1897001549735,6.495357611435,3.954174306982432,1,0,9.356649221163451,2.870475928974308,0.0008326177602766428
444288-77-1,O=C(O)C=1C=CC=C(NCC=2C=NC=CC2)C1C(=O)O,20,31,-7.355781606716,-0.6666789337250001,6.689102672991,2.917690819809392,1,0,8.495060394985828,2.2825980490749775,5.2982455101931105e-06
128298-23-7,O=C(O)C=1C(C(=O)O)=C(C(C(=O)O)=C(C(=O)O)C1C(F)(F)F)C(F)(F)F,29,28,-9.716641373654,-1.4190737303575,8.297567643296501,4.640252459726733,2,2,6.1345120441542065,3.128129381769275,4.2296831424214133e-05
