cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5
38103-05-8,O=C(O)C1=CC=C(OC2=CC=C(C=C2)C(C3=CC=C(OC4=CC=C(C(=O)O)C(=C4)C(=O)O)C=C3)(C)C)C=C1C(=O)O,41,64,,,,,0,1
1257323-85-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(NC(=O)OC(C=2C=CC=CC2N(=O)=O)C)C(=O)O,31,35,-8.8396184334925,-1.4574417832780002,7.3821766502145,4.6857969279515315,0,1
15979-35-8,O=C(O)C1=C(O)C=C2C(=O)C3=C(O)C(O)=C(C(O)=C3C(=O)C2=C1C(=O)O)C4=CC(=CC=C4O)CCNC(=O)C,39,45,,,,,2,1
830320-86-0,N#CC1=CC=C(C(=O)O)C(=C1)C(=O)O,18,16,-9.197448146900001,-1.1665520770935,8.0308960698065,5.715043180939231,0,1
106860-70-2,O=NC1=CC=CC(C(=O)O)=C1C(=O)O,18,17,-8.6850577664085,-2.1897001549735,6.495357611435,3.9541743069824324,1,0
444288-77-1,O=C(O)C=1C=CC=C(NCC=2C=NC=CC2)C1C(=O)O,20,31,-7.3557816067160005,-0.6666789337250001,6.689102672991,2.917690819809392,1,0
128298-23-7,O=C(O)C=1C(C(=O)O)=C(C(C(=O)O)=C(C(=O)O)C1C(F)(F)F)C(F)(F)F,29,28,-9.716641373654001,-1.4190737303575,8.297567643296501,4.640252459726733,2,2
1185300-97-3,O=C(O)C=1C=CC=C(NC(=O)OCC2C=3C=CC=CC3C=4C=CC=CC42)C1C(=O)O,30,46,-7.492110645816501,-0.7845042309915,6.707606414825001,2.828921004552796,1,0
769908-43-2,O=C(O)C1=CC=C(C(N)=C1C(=O)O)C,14,19,-7.4140139707229995,-0.58776591708,6.826248053642999,4.04398535852938,1,1
28749-88-4,O=C(O)C1=C(F)C(F)=C(O)C(F)=C1C(=O)O,16,18,-8.683152969455,-0.7839600032905,7.8991929661645,0.6006952638401605,2,2
51419-12-6,O=C(O)C1=CC=C(OS(=O)(=O)C=2C=CC=CC2)C=C1C(=O)O,22,31,-9.072820003371,-0.894710340444,8.178109662927,6.1861309289409645,0,1
945681-56-1,O=C(O)C=1C=C2C(=CC1C(=O)O)C3C4=CC(C(=O)O)=C(C=C4C2C5=CC(C(=O)O)=C(C=C53)C(=O)O)C(=O)O,38,41,,,,,0,2
14597-16-1,O=C(O)C1=C(O)C=C2C(=O)C3=C(O)C(O)=C(C(O)=C3C(=O)C2=C1C(=O)O)C4=CC(=CC=C4O)CCN,36,42,-7.661365460827501,-2.161128200671,5.500237260156501,4.049068842338939,2,1
6274-40-4,O=C(O)C1=CC(O)=CC(C(=O)O)=C1C(=O)O,21,20,-8.421379445273999,-0.7866811417955001,7.6346983034784985,2.565939784952094,1,1
