cas,smiles,h1,h2
1192548-76-7,O=C(O)C1=CC(Br)=CC(Cl)=C1C(=O)O,14,17
67892-43-7,O=C(O)C1=CC=CC(=C1C(=O)O)S(=O)(=O)O,16,20
597565-48-5,O=C(O)C1=CC=C(C=C1)C=2C=CC=C(C(=O)O)C2C(=O)O,30,29
61837-53-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)N(=O)=O,18,22
26190-11-4,O=C(O)C1=CC=C(OC2=CC=C(C=C2)N(=O)=O)C=C1C(=O)O,22,30
10595-31-0,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,27,31
22895-28-9,O=C(O)C=1C=CC=C(N=N(=O)C=2C=CC=C(C(=O)O)C2C(=O)O)C1C(=O)O,27,36
945681-55-0,O=C(O)C=1C=C2C(=CC1C(=O)O)C3C=4C=CC=CC4C2C5=CC(C(=O)O)=C(C=C53)C(=O)O,32,35
92792-46-6,O=C(O)C1=CC=CC(=C1C(=O)O)N2C(=O)C=3C=CC=C(N)C3C2=O,24,28
6219-66-5,O=C(O)C1=C(O)C=C2C(=O)C=3C(O)=C(C(C(=O)C)=C(O)C3C(=O)C2=C1C(=O)O)CC,30,38
944-38-7,O=C(O)C1=C(C(=O)O)C(=CC=C1C)C,15,14
63035-28-9,O=C(O)C1=CC(O)=C(OC)C=C1C(=O)O,15,22
4445-49-2,O=C(O)C1=CC=CC(C=2C=CC=CC2)=C1C(=O)O,18,27
61837-54-5,O=C(O)C=1C=C(C(=O)O)C(=CC1N)C(=O)O,18,22
223387-87-9,O=C(O)C1=CC=C(OC(C)C)C=C1C(=O)O,16,27
144152-92-1,O=C(O)C1=CC=CC(C=2C=CC=CC2C)=C1C(=O)O,19,30
94617-43-3,O=C(O)C1=CC=CC(=C1C(=O)O)S(=O)(=O)N,16,20
67614-42-0,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C,16,20
40532-23-8,O=C(O)C1=CC=C(OC2=CC=C(N)C=C2)C=C1C(=O)O,20,30
5466-99-9,O=C(O)C=1C=CC=CC1C(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,32,30
444288-68-0,O=C(O)C=1C=CC=C(NCC=2SC=CC2)C1C(=O)O,19,29
68183-31-3,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)OCCOC(=O)C(=C)C,23,27
444288-59-9,O=C(O)C=1C=CC=C(NCC=2OC(=CC2)C)C1C(=O)O,20,32
23602-85-9,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C=C2)C(=O)C3=CC=C(C(=O)O)C(=C3)C(=O)O,34,38
134960-68-2,O=C(O)C1=CC=C2C(=C1C(=O)O)C(C=3C=CC=CC3)(C)CC2(C)C,24,27
500000-96-4,O=C(O)C1=CC=C(OC(=O)C2=CC=C(C=C2)C(=O)OC3=CC=C(C(=O)O)C(=C3)C(=O)O)C=C1C(=O)O,36,49
17249-00-2,O=C(O)C1=C(O)C=C2C(=O)C3=C(O)C(O)=C(C(O)=C3C(=O)C2=C1C(=O)O)C4=CC(=CC=C4O)CCO,36,42
296779-99-2,O=C(O)C=1C=CC=C(C=C)C1C(=O)O,14,21
213611-98-4,N#CC=1C=C(C(=O)O)C(=CC1C#N)C(=O)O,17,19
312303-68-7,O=C(O)C=1C=CC=C(NN)C1C(=O)O,14,21
