descriptor,mae,r2
lumo_ev|molecular_volume_A3|sasa|3and6,1.9649137619780144,0.3771558411695407
homo_ev|lumo_ev|molecular_volume_A3|sasa,1.964929273714195,0.3771476381508124
lumo_ev|omega|molecular_volume_A3|sasa,1.9649447176785568,0.3771373606970301
lumo_ev|molecular_volume_A3|sasa|4and5,1.964969143032808,0.3771269088969692
lumo_ev|molecular_volume_A3|polar|sasa,1.964970040551693,0.377116200799422
homo_ev|omega|sasa,1.9677843929047436,0.3761146870086365
omega|dipole_moment_debye|3and6|4and5,1.9984772258489376,0.3753914880181156
lumo_ev|omega|o_nbo_charge|sasa,1.934050121050758,0.3751943548036778
homo_ev|omega|sasa|4and5,1.9692692561083616,0.3751455404870925
omega|sasa|3and6|4and5,1.9692588985482136,0.3751454727937884
lumo_ev|o_nbo_charge|sasa|3and6,1.935776048401456,0.3749950619405907
lumo_ev|o_nbo_charge|sasa,1.9343388526959464,0.3749838378349199
lumo_ev|sasa,1.941587430295516,0.374964480456174
dipole_moment_debye|h_nbo_charge|o_nbo_charge|3and6,1.981470871485606,0.3749194205352872
homo_ev|dipole_moment_debye|o_nbo_charge|3and6,1.981492401639181,0.3749019688327741
lumo_ev|gap_ev|o_nbo_charge|sasa,1.934706804724441,0.3747409890032315
homo_ev|lumo_ev|o_nbo_charge|sasa,1.9348690921103844,0.3746131454056014
lumo_ev|o_nbo_charge|sasa|4and5,1.9416255578114183,0.3704425921877315
lumo_ev|gap_ev|molecular_volume_A3|sasa,1.992264441311721,0.3674667914806491
omega|polar|sasa,1.9789839889706824,0.3666828545920046
lumo_ev|h_nbo_charge|polar|sasa,2.081698202606178,0.3662272144900156
homo_ev|omega|polar|sasa,1.9797556665461684,0.3659759038221433
lumo_ev|dipole_moment_debye|molecular_volume_A3|3and6,1.9644443047059676,0.3651428634147028
homo_ev|gap_ev|3and6|hbd,1.6959497802586807,0.3649363439081922
omega|dipole_moment_debye|o_nbo_charge|3and6,1.9895161297330624,0.3585269296658551
lumo_ev|omega|dipole_moment_debye|3and6,1.8943152354877,0.3583490697400163
omega|3and6|logp|hbd,1.7111582132401864,0.3570649076272848
lumo_ev|polar|sasa,1.974702016411683,0.3556717985847857
dipole_moment_debye|o_nbo_charge|3and6|4and5,2.012925061108504,0.355244874233573
lumo_ev|dipole_moment_debye|polar|3and6,1.9723445006426468,0.3535420028639146
lumo_ev|molecular_volume_A3|sasa,1.9668500900946808,0.3533862668392348
omega|molecular_volume_A3|h_nbo_charge,1.8955462085822257,0.3532943650541359
omega|molecular_volume_A3|sasa|logp,1.9289512983400268,0.3507029096078675
omega|h_nbo_charge|sasa|4and5,2.007412701875077,0.3489176270916759
omega|sasa|3and6|logp,2.000241783925271,0.3483992465824751
omega|sasa|logp,2.0002601278042644,0.3483815080528299
omega|sasa|4and5|logp,2.00037368149381,0.3482835057056016
lumo_ev|polar|sasa|logp,2.0179064789031727,0.3482680965363017
lumo_ev|polar|sasa|4and5,2.0179149996163708,0.3482629787275144
lumo_ev|omega|polar|sasa,2.0179158164079056,0.348261585238737
homo_ev|lumo_ev|polar|sasa,2.0179197690673925,0.3482608581631393
lumo_ev|polar|sasa|3and6,2.0179102958576274,0.348256150830735
homo_ev|gap_ev|omega|sasa,2.0122876834101624,0.3441101110803144
gap_ev|omega|sasa,2.0122929044224267,0.3441015125406748
gap_ev|omega|sasa|3and6,2.0123105882228,0.3440885368961931
gap_ev|omega|3and6|hbd,1.76727683226789,0.3427862679498642
homo_ev|omega|3and6|hbd,1.767289444856467,0.342780761958856
o_nbo_charge|3and6|hba,1.9485083315903375,0.3419808454229827
gap_ev|omega|sasa|4and5,2.015108685491536,0.3416276163534412
omega|3and6|hbd|hba,1.7851041980810125,0.3407807810766936
homo_ev|o_nbo_charge|3and6|hba,1.962992008443641,0.3407715912880602
molecular_volume_A3|o_nbo_charge|3and6|hba,1.9630426064555149,0.340686944751734
o_nbo_charge|polar|3and6|hba,1.9631177779501487,0.3406306361405851
omega|dipole_moment_debye|molecular_volume_A3|3and6,2.083886191874236,0.3397818803189865
lumo_ev|gap_ev|polar|sasa,2.0351781788726355,0.3391696075749545
lumo_ev|h_nbo_charge|sasa|3and6,1.9879701886148904,0.3388545930090449
omega|dipole_moment_debye|3and6,2.03355596258311,0.3383602277462506
omega|h_nbo_charge|hba,1.816580292454841,0.3366281157574748
o_nbo_charge|3and6|4and5|hba,1.9689583851615056,0.3357996633446045
gap_ev|o_nbo_charge|3and6|hba,1.974852349465576,0.3331483766946134
omega|dipole_moment_debye|h_nbo_charge|3and6,2.1014075870350557,0.3330152766343071
lumo_ev|molecular_volume_A3|o_nbo_charge|sasa,2.043255371555158,0.3311482523889154
lumo_ev|omega|h_nbo_charge|sasa,2.016182073105308,0.3294832022827171
omega|h_nbo_charge|sasa,2.021843782983952,0.3282232166971409
homo_ev|omega|h_nbo_charge|sasa,2.021873307743451,0.328185475536229
omega|3and6|logp|hba,1.9680602362050676,0.3263469370540075
omega|o_nbo_charge|sasa,2.067514275977783,0.3251580065007265
homo_ev|sasa|hbd,1.871862923137616,0.3248817664552232
homo_ev|3and6|logp|hbd,1.9444959027703304,0.324820205055793
homo_ev|omega|o_nbo_charge|sasa,2.068886160376179,0.323629371828765
lumo_ev|o_nbo_charge|polar|sasa,2.054486991239357,0.3235148723643616
omega|o_nbo_charge|sasa|4and5,2.069819710995408,0.322867685148236
omega|molecular_volume_A3|sasa,2.050259290897431,0.3226720380177449
lumo_ev|dipole_moment_debye|h_nbo_charge|polar,2.010472225681429,0.3200828767013575
omega|molecular_volume_A3|polar|sasa,2.0609587076354527,0.3193395620943824
omega|h_nbo_charge|sasa|3and6,2.0429573424073277,0.3189308302385758
homo_ev|lumo_ev|dipole_moment_debye|3and6,1.9592370270007,0.3188473356881964
gap_ev|omega|polar|sasa,2.134692898443354,0.3183576243298289
omega|sasa,2.1079525331862103,0.3183051194905317
omega|molecular_volume_A3|sasa|4and5,2.064080040160296,0.318233850369738
omega|molecular_volume_A3|sasa|3and6,2.064112626025309,0.3182142886262245
homo_ev|omega|molecular_volume_A3|sasa,2.105299732630215,0.3156573740237637
homo_ev|h_nbo_charge|logp|hbd,1.8441589589233984,0.3153492562229523
homo_ev|sasa|3and6|hbd,1.857556789650876,0.3137959402219471
homo_ev|sasa|hbd|hba,1.9318515572745223,0.3106068975514467
homo_ev|gap_ev|omega|dipole_moment_debye,2.0308432979764404,0.309585319131377
lumo_ev|gap_ev|dipole_moment_debye|3and6,1.9658969841515035,0.3089195597773907
lumo_ev|gap_ev|omega|dipole_moment_debye,2.0445319594310267,0.3074234099285102
lumo_ev|gap_ev|dipole_moment_debye,2.0445253203171565,0.3074227104947861
homo_ev|lumo_ev|gap_ev|dipole_moment_debye,2.0445314200216624,0.3074197224328825
omega|dipole_moment_debye|3and6|hba,2.0952407228204666,0.3063250675989785
lumo_ev|dipole_moment_debye|h_nbo_charge|logp,2.030212551030044,0.3055666704667612
lumo_ev|dipole_moment_debye|h_nbo_charge|4and5,2.0302397971401764,0.3055619495002111
homo_ev|gap_ev|sasa|3and6,2.0179243729264824,0.3035616634844869
homo_ev|molecular_volume_A3|h_nbo_charge|hbd,1.9341530056373095,0.3028713401008097
homo_ev|sasa|4and5|hbd,1.9022388656718676,0.3011600547317338
omega|o_nbo_charge|polar|sasa,2.0928966320440265,0.2989690316072613
gap_ev|omega|h_nbo_charge|sasa,2.0551914723792053,0.2989279611140478
lumo_ev|o_nbo_charge|sasa|logp,2.0030253111503717,0.2984790145589584
lumo_ev|dipole_moment_debye|hba,2.1302266646735557,0.2982538574067557
lumo_ev|omega|dipole_moment_debye,2.13023029801205,0.2982521708988913
homo_ev|gap_ev|sasa|logp,2.025339819171291,0.2964748887306213
homo_ev|gap_ev|omega|h_nbo_charge,1.9715307850854769,0.2943447393459204
gap_ev|omega|dipole_moment_debye|3and6,1.9753801171528655,0.293471416656238
homo_ev|gap_ev|sasa|4and5,2.032813653613929,0.289951980669114
omega|h_nbo_charge|polar,2.0027975113438448,0.2895992010265908
gap_ev|omega|o_nbo_charge|sasa,2.121437242333988,0.288340358877088
lumo_ev|omega|sasa|logp,1.998107105661352,0.2882931038712515
lumo_ev|omega|dipole_moment_debye|h_nbo_charge,2.142985937899921,0.2878327042651413
lumo_ev|omega|h_nbo_charge|polar,2.019548780990275,0.2875562724200788
lumo_ev|polar|3and6|hbd,1.788681853545116,0.2863277243949665
omega|polar|sasa|4and5,2.053721705742974,0.2851170826442809
lumo_ev|omega|3and6|hba,2.023835678742451,0.284719302026036
lumo_ev|molecular_volume_A3|3and6|hba,2.023830640688258,0.2847097865480319
lumo_ev|polar|3and6|hba,2.0238559327627668,0.2846989842870477
homo_ev|lumo_ev|3and6|hba,2.023865515942652,0.2846961614587742
omega|dipole_moment_debye|3and6|logp,2.071454972747327,0.2813592705715481
lumo_ev|gap_ev|3and6|hbd,1.794741362514073,0.2803950423650357
dipole_moment_debye|o_nbo_charge|3and6|logp,2.132006566103048,0.2802359265644071
lumo_ev|gap_ev|h_nbo_charge|o_nbo_charge,2.0623646173387766,0.2742097947663734
o_nbo_charge|sasa|3and6|hbd,1.9176765271510263,0.2728223394148306
lumo_ev|h_nbo_charge|polar,2.02525210215965,0.2719932598933317
h_nbo_charge|o_nbo_charge|3and6|hba,2.0982799053034227,0.2714561469033251
lumo_ev|dipole_moment_debye|h_nbo_charge,2.106971845404821,0.2713551185611876
lumo_ev|dipole_moment_debye|o_nbo_charge,2.187911858790207,0.2704843332010965
gap_ev|omega|dipole_moment_debye,2.097850051135747,0.2703604108599313
omega|polar|sasa|3and6,2.063698940053801,0.2700248206596966
lumo_ev|o_nbo_charge|3and6|hba,2.092499212270578,0.2684060556736465
o_nbo_charge|3and6|logp|hbd,1.994202549223508,0.2671640086983369
homo_ev|lumo_ev|3and6|hbd,1.8098662387169524,0.266644055039984
homo_ev|lumo_ev|dipole_moment_debye,2.171157331909711,0.2662438135912159
lumo_ev|4and5|hbd,1.898897443994886,0.2658417776133521
omega|h_nbo_charge|4and5,1.9916390957346664,0.2656021156863642
homo_ev|lumo_ev|omega|dipole_moment_debye,2.172675396848209,0.2655850011569789
omega|dipole_moment_debye|h_nbo_charge|4and5,2.05807050735285,0.2651450375520675
homo_ev|sasa|logp|hbd,1.987965168326058,0.264845167158923
homo_ev|gap_ev|3and6|hba,1.979326933196931,0.2627164275882752
homo_ev|dipole_moment_debye|sasa|hbd,2.0678094112479948,0.2625745776955859
lumo_ev|gap_ev|3and6|hba,2.0440321389367555,0.2625203874061979
dipole_moment_debye|o_nbo_charge|3and6|hba,2.1165248254883964,0.2619097589567637
lumo_ev|4and5|hbd|hba,1.9534852012175967,0.2590622072448972
homo_ev|omega|dipole_moment_debye,2.141997286510381,0.2584695922854094
lumo_ev|dipole_moment_debye,2.2158257437996096,0.256630254893273
omega|o_nbo_charge|3and6|hba,2.0970810288562234,0.2562415188614767
lumo_ev|omega|3and6|hbd,1.899797657857024,0.2562359985665172
homo_ev|lumo_ev|dipole_moment_debye|h_nbo_charge,2.134730348518164,0.2550172596028639
homo_ev|gap_ev|o_nbo_charge|3and6,2.104291472456152,0.254535499108984
homo_ev|gap_ev|dipole_moment_debye|sasa,1.9548452767087536,0.2524353046836909
omega|4and5|hbd|hba,1.973970329650486,0.2497076832276298
o_nbo_charge|3and6|logp,2.1123797863610427,0.2480325818636083
lumo_ev|gap_ev|h_nbo_charge|polar,2.0892192882989677,0.2480297062805563
lumo_ev|dipole_moment_debye|hbd|hba,2.19051695575852,0.2480082712189131
omega|h_nbo_charge|3and6,2.108647880641994,0.2473392906253693
omega|polar|sasa|logp,2.1178067069751942,0.2472585226286738
homo_ev|omega|dipole_moment_debye|h_nbo_charge,2.165672530190655,0.2465291501024246
lumo_ev|h_nbo_charge|o_nbo_charge|3and6,2.17054089709108,0.2460772444208947
homo_ev|lumo_ev|h_nbo_charge|o_nbo_charge,2.0922962938880265,0.2458131486344191
lumo_ev|h_nbo_charge|o_nbo_charge,2.0923393391399707,0.2457744753481071
lumo_ev|dipole_moment_debye|molecular_volume_A3,2.187448416780217,0.2452347319922713
omega|h_nbo_charge|logp,2.05461094605628,0.2439706294652691
lumo_ev|dipole_moment_debye|h_nbo_charge|o_nbo_charge,2.1593388072669195,0.243676434931792
homo_ev|lumo_ev|dipole_moment_debye|o_nbo_charge,2.22872408651502,0.2433921882425925
homo_ev|omega|dipole_moment_debye|molecular_volume_A3,2.171050383731105,0.2433129609018354
lumo_ev|dipole_moment_debye|o_nbo_charge|hba,2.2133528278953274,0.2422849737675017
gap_ev|omega|dipole_moment_debye|h_nbo_charge,2.206575449431792,0.2418074374401937
omega|polar|3and6|hbd,1.9337624826682165,0.2393361788050733
